time,bestSatId,maxElev_deg,dist_km
0.0,22,2.870400989374209,2529.4227773400153
10.0,22,2.898151358345565,2526.685087883977
20.0,22,2.9086236216177777,2525.65283010786
30.0,22,2.9017639151879266,2526.328941673722
40.0,22,2.8775990884539313,2528.7123316207426
50.0,22,2.836229265461021,2532.798584574513
60.0,21,2.8315517218040407,2533.261073947236
70.0,21,2.9169894159539655,2524.8285526378672
80.0,21,2.985592259471633,2518.0806820952594
90.0,21,3.0370554105316354,2513.0321858778734
100.0,21,3.071143193154001,2509.6945641302523
110.0,21,3.087699301809787,2508.075342448384
120.0,21,3.086642495482653,2508.1786645663233
130.0,21,3.0679738217992907,2510.0046715770445
140.0,21,3.031770678563936,2513.5500814663683
150.0,20,2.9783871390989924,2518.788421686255
160.0,20,3.070874576423738,2509.7208452604473
170.0,20,3.146376299904451,2502.3462375322724
180.0,20,3.204552414098375,2496.680856367507
190.0,20,3.2451326640527967,2492.7377493152485
200.0,20,3.2679290828552157,2490.525810190974
210.0,20,3.272829915774883,2490.0505773441696
220.0,20,3.25980874014089,2491.3134684943916
230.0,20,3.2289200371826188,2494.3122395144724
240.0,20,3.180297690654394,2499.0410681514904
250.0,19,3.225285804713692,2494.665335296704
260.0,19,3.307837758851779,2486.6589145015996
270.0,19,3.3728810905726276,2480.371485046268
280.0,19,3.420113996455077,2475.817237438716
290.0,19,3.449310873658225,2473.006893393449
300.0,19,3.460330522011929,2471.947160585069
310.0,19,3.4531149701791177,2472.6410030406428
320.0,19,3.4276932828667754,2475.087337530427
330.0,19,3.384178584678397,2479.28128587714
340.0,18,3.3802010108831766,2479.665055266555
350.0,18,3.469958460945327,2471.021696946897
360.0,18,3.5420316987222518,2464.1066089481355
370.0,18,3.596079346367716,2458.9357862008897
380.0,18,3.6318430285761107,2455.5211856777573
390.0,18,3.6491459468943233,2453.871149776364
400.0,18,3.6479003221046997,2453.9898913341003
410.0,18,3.628106850454355,2455.877644412994
420.0,18,3.5898534598953926,2459.5307805810603
430.0,17,3.5356000863327135,2464.722775358711
440.0,17,3.632721802371292,2455.4373530183934
450.0,17,3.7119887741710644,2447.889264272557
460.0,17,3.773020545005815,2442.0961425173696
470.0,17,3.8155222805262854,2438.071410103504
480.0,17,3.8392806033431763,2435.825003419595
490.0,17,3.8441751281392533,2435.3625175252446
500.0,17,3.830175870011657,2436.6855894165647
510.0,17,3.797345694142191,2439.7916985535835
520.0,17,3.7458374020280516,2444.6743684534013
530.0,16,3.796108760232012,2439.908817752039
540.0,16,3.882736965387636,2431.722413918953
550.0,16,3.9509276443007697,2425.30117681117
560.0,16,4.000343226801391,2420.6604595198264
570.0,16,4.0307356253783935,2417.8114804062016
580.0,16,4.041946245810546,2416.761604126528
590.0,16,4.033914943097876,2417.513681776665
600.0,16,4.006674703446951,2420.066619253204
610.0,16,3.96035690984767,2424.4148417696165
620.0,15,3.960096829804867,2424.4392837073856
630.0,15,4.054262757108836,2415.6087856690638
640.0,15,4.129790303354441,2408.553745688081
650.0,15,4.186302616918426,2403.2909877816205
660.0,15,4.223510443883712,2399.8334784989115
670.0,15,4.241221278729274,2398.1898037363694
680.0,15,4.239338064603499,2398.3645135608467
690.0,15,4.217864227369365,2400.3577657273554
700.0,15,4.17690302657466,2404.1653798452066
710.0,14,4.124667086914995,2409.0315292830896
720.0,14,4.226545669331136,2399.551695098287
730.0,14,4.309594660862662,2391.8569784613037
740.0,14,4.3733913998882565,2385.9661501704554
750.0,14,4.417607325030075,2381.893607928498
760.0,14,4.442006755222652,2379.6498676607084
770.0,14,4.446459107351088,2379.240710289862
780.0,14,4.430932946093717,2380.6678847513035
790.0,14,4.39550425393999,2383.928380681975
800.0,14,4.3403500531707895,2389.014923393853
810.0,13,4.399567044379442,2383.5542096973554
820.0,13,4.490326242287006,2375.2139957887566
830.0,13,4.561603047521713,2368.6888179217976
840.0,13,4.613021307211296,2363.995118978852
850.0,13,4.64430785913821,2361.144663785847
860.0,13,4.655289453104008,2360.1451437153323
870.0,13,4.645902327308895,2360.9995069173974
880.0,13,4.616189653079066,2363.706267075617
890.0,13,4.566302687315893,2368.259343616403
900.0,12,4.573305412349387,2367.61957815767
910.0,12,4.6719703652151985,2358.62786929544
920.0,12,4.7509249180382245,2351.462369270292
930.0,12,4.809751460337991,2346.14085287746
940.0,12,4.848128377212797,2342.6771734443637
950.0,12,4.865842846635848,2341.080481004474
960.0,12,4.862791496941309,2341.3554190533896
970.0,12,4.838986967495374,2343.50165586009
980.0,12,4.794549790301888,2347.5146012745113
990.0,11,4.7477393214936745,2351.750962735834
1000.0,11,4.854507095772404,2342.102074340964
1010.0,11,4.941348210667772,2334.28976961356
1020.0,11,5.007791884178753,2328.3340625072565
1030.0,11,5.053471015550673,2324.250454966998
1040.0,11,5.078128424228621,2322.049814765345
1050.0,11,5.08162108407227,2321.738307828142
1060.0,11,5.063924212370586,2323.3172068966496
1070.0,11,5.025128474340338,2326.783170473314
1080.0,11,4.9654416644455495,2332.1279775707685
1090.0,10,5.037918901455314,2325.6397846526115
1100.0,10,5.132857774066406,2317.1744923485185
1110.0,10,5.207135485291358,2310.5780548987113
1120.0,10,5.260336901082486,2305.8676808997097
1130.0,10,5.292156721975368,2303.056109316805
1140.0,10,5.302408850429057,2302.1511496341395
1150.0,10,5.291028484097655,2303.155726414192
1160.0,10,5.258074620220643,2306.067736679664
1170.0,10,5.203724285002473,2310.880485179712
1180.0,9,5.222182488403362,2309.2446038192656
1190.0,9,5.3254380115741995,2300.1199711821255
